charging_capacity_kW,usage_stats,cost_per_kWh,battery_capacity,state_of_charge,charger_type,renewable_energy,maintenance_frequency,latitude,longitude,priority_score
131.08904159657686,82.7518922106303,7.877724320971048,90.57415720690467,37.36408184666985,DC Fast,No,Weekly,15.543640408284098,84.77957946954504,41.38
332.75000724347063,76.45277946547176,8.157024807812576,128.27616733533984,33.291209623140325,Level 2,No,Quarterly,16.154056774277706,83.46207769878963,55.96
256.19787963399176,57.352895145557326,9.49091587620763,36.26155827873246,17.615391250286006,DC Fast,Yes,Monthly,13.215839403624651,79.5482977243865,34.02
209.53046946896282,95.60471436119332,7.690015351209622,36.87178554393947,60.726667010148795,Level 1,No,Quarterly,15.702481249473994,82.75142764045339,14.87
54.60652415485278,20.04745155284028,9.5437738968426,92.38638683617998,47.66241605086289,DC Fast,Yes,Quarterly,12.366553794797138,76.93038741293778,30.04
54.59808211767093,10.92642103096214,6.80847050841842,143.0292249365882,86.57009923240037,Level 2,Yes,Quarterly,11.433756710682395,80.62336327391778,10.53
20.329264258869813,85.39619669554222,9.218794530230207,73.94970858819805,3.2109580482058253,Level 2,Yes,Weekly,13.739702592773327,75.74619055568708,55.09
303.1616510212273,43.91498166337483,9.466416715691578,62.50247303311034,64.38679275551263,DC Fast,Yes,Monthly,17.39289628746437,78.48089032251683,18.9
210.3902541101231,84.69688542070605,7.136361784930686,98.86961201572515,76.29488785115612,Level 2,No,Quarterly,19.161871480738874,77.2586218162217,16.15
247.82540222861593,89.30902051954149,8.006212863302702,140.95831807085403,75.94865691883071,DC Fast,No,Monthly,14.577140514982325,82.1890981532521,22.33
7.204573003530856,6.245759361907144,7.079249211322795,128.80061826980108,88.60739670955252,DC Fast,Yes,Monthly,16.428236882754316,79.90090691214361,8.3
339.468448256698,88.34647629860606,8.973114451479763,149.41286939531858,72.9033742829494,Level 1,Yes,Quarterly,11.030371309751004,82.5107047884801,26.24
291.3549242801476,44.831905536942216,8.3737171882158,22.93391581630902,92.78100616476964,Level 2,No,Quarterly,19.044637585523287,80.15295437631445,2.02
74.31868873739666,51.04324890042322,8.723631713479124,34.671558812659086,33.26565998208915,Level 1,No,Weekly,15.686042135699344,75.86484442151638,19.68
63.63873852248522,62.659251109321026,7.187704384346739,99.23080923766086,50.32094167515431,Level 2,Yes,Monthly,17.80338247625157,82.35367649732527,32.72
64.19157844870183,92.63826067300867,7.241110517183468,126.67493711340046,1.4079663282890675,DC Fast,Yes,Quarterly,17.944412009213938,83.33229263987806,83.05
106.4847850358382,1.911609442976403,6.645240639284673,57.081764499879654,0.6957587303291213,Level 2,Yes,Quarterly,12.564805263681059,84.03531225912792,36.84
183.66475107128323,47.68434683178171,7.627236373185054,51.097441444448435,24.012662045151988,DC Fast,Yes,Monthly,15.291744531818495,80.71991945306708,34.5
151.18075652474053,68.77220424305607,8.459106314667862,122.30685391955612,10.080719713908525,Level 2,Yes,Quarterly,19.604797515609775,82.53585358999496,70.85
101.93019906931467,72.27069576982285,9.502772198990652,27.329641000920105,26.021136793575362,Level 1,No,Monthly,10.896345448208278,82.52044336882628,21.13
214.1485131528328,69.2532431537108,8.834246066105383,68.01974418573607,17.70432945283974,Level 1,No,Quarterly,16.830498980295634,76.55749759798944,40.52
